author,year,TP,FN,FP,TN,rob_PS,rob_IT,rob_RS,rob_FT,ac_PS,ac_IT,ac_RS
Flicker,1997,188,28,35,48,2,2,2,3,1,3,1
Garcia,2002,83,7,4,19,2,1,1,1,1,1,1
Goncalves,2011,109,43,17,35,1,1,2,1,1,1,1
Hancock,2009,73,12,36,23,1,2,1,1,1,3,1
Harwood,1997,43,0,29,105,1,2,3,1,1,2,1
Jorm,1991,17,7,9,36,2,2,1,2,2,1,1
Knaefelc,2003,215,14,50,44,1,2,1,2,1,1,3
Mackinnon,1998,52,6,17,31,2,2,1,3,3,3,1
Mulligan,1996,33,0,25,18,2,2,3,3,3,3,3
Narasimhalu,2008,145,24,90,317,2,2,2,2,2,3,3
Sikkes,2010,173,7,52,37,2,2,1,1,2,1,1
Siri,2006,94,6,12,88,2,2,1,2,3,2,3
Tang,2003,21,3,41,124,1,2,1,2,2,2,1
